1 סאזא - ףכüענא, 28.9.2016, 17:21
Diameter[mm] 2.000e+01  Thickness[mm] 1.250e-01  Spacer Capacity[pF] 1.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [°C]=1.4000e+02  AC Volt  [Vrms]=1.000e+00
 Freq. [Hz]	 Eps'  	 Eps'' 	 Sig' [S/cm]	 Sig'' [S/cm]	 Zp' [Ohms]	 Zp'' [Ohms]	 Modulus'  	 Modulus''  
1.00000e+06	3.05246e+00	1.39223e-01	7.74531e-08	-1.14184e-06	5.13714e+04	2.34305e+03	3.26925e-01	1.49110e-02
7.40741e+05	3.08081e+00	1.38426e-01	5.70443e-08	-8.57486e-07	6.97506e+04	3.13401e+03	3.23936e-01	1.45550e-02
5.48697e+05	3.10583e+00	1.37442e-01	4.19548e-08	-6.42813e-07	9.48372e+04	4.19683e+03	3.21346e-01	1.42205e-02
4.06442e+05	3.13057e+00	1.37354e-01	3.10576e-08	-4.81753e-07	1.28113e+05	5.62094e+03	3.18817e-01	1.39881e-02
3.01068e+05	3.15509e+00	1.38169e-01	2.31422e-08	-3.60960e-07	1.71931e+05	7.52930e+03	3.16342e-01	1.38534e-02
2.23014e+05	3.17937e+00	1.40097e-01	1.73815e-08	-2.70391e-07	2.28914e+05	1.00869e+04	3.13918e-01	1.38325e-02
1.65195e+05	3.20336e+00	1.43334e-01	1.31727e-08	-2.02494e-07	3.02054e+05	1.35154e+04	3.11549e-01	1.39403e-02
1.22367e+05	3.22688e+00	1.48171e-01	1.00868e-08	-1.51597e-07	3.94462e+05	1.81127e+04	3.09244e-01	1.41997e-02
1.00000e+05	3.24251e+00	1.52666e-01	8.49323e-09	-1.24757e-07	4.68476e+05	2.20572e+04	3.07721e-01	1.44884e-02
7.40741e+04	3.26537e+00	1.61876e-01	6.67081e-09	-9.33545e-08	5.96461e+05	2.95687e+04	3.05493e-01	1.51444e-02
5.48697e+04	3.28797e+00	1.75090e-01	5.34471e-09	-6.98411e-08	7.44451e+05	3.96434e+04	3.03279e-01	1.61502e-02
4.06442e+04	3.31052e+00	1.93698e-01	4.37980e-09	-5.22442e-08	9.08461e+05	5.31540e+04	3.01037e-01	1.76136e-02
3.01068e+04	3.33324e+00	2.19393e-01	3.67466e-09	-3.90799e-08	1.08279e+06	7.12689e+04	2.98715e-01	1.96614e-02
2.23013e+04	3.35643e+00	2.54391e-01	3.15619e-09	-2.92359e-08	1.26066e+06	9.55480e+04	2.96234e-01	2.24522e-02
1.65195e+04	3.38061e+00	3.01612e-01	2.77188e-09	-2.18783e-08	1.43544e+06	1.28067e+05	2.93469e-01	2.61828e-02
1.22367e+04	3.40636e+00	3.64919e-01	2.48422e-09	-1.63815e-08	1.60166e+06	1.71584e+05	2.90238e-01	3.10929e-02
1.00000e+04	3.42497e+00	4.19123e-01	2.33169e-09	-1.34907e-08	1.70643e+06	2.08821e+05	2.87666e-01	3.52025e-02
7.40741e+03	3.45533e+00	5.21642e-01	2.14965e-09	-1.01183e-08	1.85094e+06	2.79431e+05	2.82959e-01	4.27175e-02
5.48697e+03	3.49012e+00	6.57501e-01	2.00705e-09	-7.60118e-09	1.98245e+06	3.73473e+05	2.76703e-01	5.21279e-02
4.06442e+03	3.53100e+00	8.37082e-01	1.89276e-09	-5.72296e-09	2.10215e+06	4.98349e+05	2.68136e-01	6.35660e-02
3.01068e+03	3.58075e+00	1.07313e+00	1.79740e-09	-4.32255e-09	2.21368e+06	6.63425e+05	2.56255e-01	7.67980e-02
2.23014e+03	3.63999e+00	1.38194e+00	1.71455e-09	-3.27539e-09	2.32066e+06	8.81048e+05	2.40116e-01	9.11613e-02
1.65195e+03	3.71578e+00	1.78649e+00	1.64182e-09	-2.49587e-09	2.42345e+06	1.16515e+06	2.18594e-01	1.05096e-01
1.22367e+03	3.80868e+00	2.31489e+00	1.57588e-09	-1.91203e-09	2.52486e+06	1.53459e+06	1.91731e-01	1.16533e-01
1.00000e+03	3.88186e+00	2.75817e+00	1.53444e-09	-1.60325e-09	2.59305e+06	1.84243e+06	1.71186e-01	1.21632e-01
7.40741e+02	4.01052e+00	3.58817e+00	1.47866e-09	-1.24061e-09	2.69086e+06	2.40749e+06	1.38489e-01	1.23904e-01
5.48697e+02	4.15374e+00	4.67353e+00	1.42662e-09	-9.62692e-10	2.78903e+06	3.13805e+06	1.06246e-01	1.19542e-01
4.06442e+02	4.31942e+00	6.11054e+00	1.38168e-09	-7.50569e-10	2.87974e+06	4.07386e+06	7.71379e-02	1.09124e-01
3.01068e+02	4.49340e+00	8.00650e+00	1.34102e-09	-5.85116e-10	2.96704e+06	5.28678e+06	5.33058e-02	9.49823e-02
2.23014e+02	4.68733e+00	1.05488e+01	1.30877e-09	-4.57481e-10	3.04016e+06	6.84185e+06	3.51773e-02	7.91664e-02
1.65195e+02	4.88535e+00	1.39399e+01	1.28111e-09	-3.57072e-10	3.10581e+06	8.86213e+06	2.23907e-02	6.38896e-02
1.22367e+02	5.08993e+00	1.84945e+01	1.25903e-09	-2.78426e-10	3.16028e+06	1.14830e+07	1.38331e-02	5.02631e-02
1.00000e+02	5.23125e+00	2.24103e+01	1.24674e-09	-2.35396e-10	3.19142e+06	1.36718e+07	9.87798e-03	4.23165e-02
7.40741e+01	5.44384e+00	2.99023e+01	1.23225e-09	-1.83127e-10	3.22894e+06	1.77362e+07	5.89298e-03	3.23694e-02
5.48697e+01	5.65841e+00	3.99877e+01	1.22064e-09	-1.42200e-10	3.25966e+06	2.30358e+07	3.46922e-03	2.45168e-02
4.06442e+01	5.88105e+00	5.36056e+01	1.21210e-09	-1.10368e-10	3.28263e+06	2.99211e+07	2.02227e-03	1.84329e-02
3.01068e+01	6.10593e+00	7.19704e+01	1.20545e-09	-8.55202e-11	3.30074e+06	3.89058e+07	1.17038e-03	1.37953e-02
2.23013e+01	6.34176e+00	9.67399e+01	1.20023e-09	-6.62743e-11	3.31508e+06	5.05696e+07	6.74740e-04	1.02928e-02
1.65195e+01	6.59366e+00	1.30160e+02	1.19620e-09	-5.14070e-11	3.32626e+06	6.56609e+07	3.88203e-04	7.66319e-03
1.22367e+01	6.89866e+00	1.74925e+02	1.19082e-09	-4.01556e-11	3.34130e+06	8.47233e+07	2.25106e-04	5.70786e-03
1.00000e+01	7.11825e+00	2.13751e+02	1.18915e-09	-3.40374e-11	3.34598e+06	1.00475e+08	1.55624e-04	4.67317e-03
7.40741e+00	7.51464e+00	2.88072e+02	1.18712e-09	-2.68464e-11	3.35169e+06	1.28486e+08	9.04922e-05	3.46899e-03
5.48697e+00	8.02936e+00	3.88344e+02	1.18544e-09	-2.14574e-11	3.35647e+06	1.62337e+08	5.32185e-05	2.57394e-03
4.06442e+00	8.74270e+00	5.23552e+02	1.18383e-09	-1.75073e-11	3.36103e+06	2.01274e+08	3.18863e-05	1.90950e-03
3.01068e+00	9.74035e+00	7.05811e+02	1.18218e-09	-1.46394e-11	3.36572e+06	2.43889e+08	1.95486e-05	1.41654e-03
2.23013e+00	1.12455e+01	9.51685e+02	1.18074e-09	-1.27115e-11	3.36982e+06	2.85180e+08	1.24146e-05	1.05062e-03
1.65195e+00	1.33478e+01	1.28310e+03	1.17920e-09	-1.13479e-11	3.37422e+06	3.24357e+08	8.10670e-06	7.79280e-04
1.22367e+00	1.66482e+01	1.72966e+03	1.17748e-09	-1.06526e-11	3.37914e+06	3.51075e+08	5.56421e-06	5.78093e-04
1.00000e+00	1.97464e+01	2.11400e+03	1.17608e-09	-1.04291e-11	3.38318e+06	3.62195e+08	4.41813e-06	4.72995e-04
1.00000e+00	1.96778e+01	2.11277e+03	1.17539e-09	-1.03909e-11	3.38516e+06	3.63458e+08	4.40793e-06	4.73272e-04
7.40741e-01	2.59178e+01	2.84680e+03	1.17315e-09	-1.02685e-11	3.39162e+06	3.72534e+08	3.19777e-06	3.51242e-04
5.48697e-01	3.52424e+01	3.83463e+03	1.17054e-09	-1.04526e-11	3.39919e+06	3.69856e+08	2.39652e-06	2.60759e-04
4.06442e-01	4.87724e+01	5.16334e+03	1.16750e-09	-1.08020e-11	3.40802e+06	3.60793e+08	1.82925e-06	1.93656e-04
3.01068e-01	6.80711e+01	6.94891e+03	1.16389e-09	-1.12339e-11	3.41861e+06	3.48982e+08	1.40957e-06	1.43894e-04
2.23014e-01	9.55590e+01	9.34432e+03	1.15933e-09	-1.17318e-11	3.43204e+06	3.35605e+08	1.09428e-06	1.07006e-04
1.65195e-01	1.34133e+02	1.25542e+04	1.15376e-09	-1.22352e-11	3.44860e+06	3.22774e+08	8.50954e-07	7.96453e-05
1.22367e-01	1.88197e+02	1.68494e+04	1.14704e-09	-1.27436e-11	3.46883e+06	3.10567e+08	6.62810e-07	5.93419e-05
1.00000e-01	2.36208e+02	2.04922e+04	1.14004e-09	-1.30852e-11	3.49013e+06	3.02786e+08	5.62419e-07	4.87925e-05
